Title|Budget|Gross|Year
Grand Hotel|700000|1235000|1932
Mata Hari|558000|931000|1931
Movie Crazy|675000|1439000|1932
The Saddle Buster|38000|25000|1932
Shanghai Express|-1|3700000|1932
Strange Interlude|408000|1240000|1932
Cavalcade|1180280|8000000|1933
42nd Street|439000|2300000|1933
Going Hollywood|914000|962000|1933
I'm No Angel|225000|2850000|1933
King Kong|670000|1700000|1933
Peg o' My Heart|623000|979000|1933
Queen Christina|1114000|767000|1933
Secrets|531641|697432|1933
She Done Him Wrong|200000|2000000|1933
Three Little Pigs|15720|250000|1933
The Affairs of Cellini|549370|88890|1934
The Black Cat|95745|236000|1934
The Cat's-Paw|617000|693000|1934
Let's Try Again|-1|183000|1934
The Painted Veil|947000|538000|1934
Viva Villa!|1017400|1109000|1934
Anna Karenina|1152000|865000|1935
The Miracle Rider|80000|1000000|1935
No More Ladies|765000|1117000|1935
Top Hat|609000|1782000|1935
Tumbling Tumbleweeds|12500|1000000|1935
Westward Ho|35000|500000|1935
The Gorgeous Hussy|1119000|1458000|1936
Love on the Run|578000|1140000|1936
The Milky Way|1032000|1170000|1936
Modern Times|1500000|163245|1936
One Rainy Afternoon|511383|603903|1936
One in a Million|-1|2000000|1936
Red River Valley|75000|225000|1936
Three Smart Girls|326000|1635800|1936
Annapolis Salute|-1|272000|1937
Camille|1486000|1154000|1936
Conquest|2732000|730000|1937
Damaged Lives|10000|1800000|1933
La grande illusion|-1|316050|1937
Green Fields|8000|80000|1937
One Hundred Men and a Girl|762000|2270200|1937
Parnell|1547000|1576000|1937
Pépé le Moko|-1|153936|1937
Snow White and the Seven Dwarfs|1488000|23034550|1937
Stella Dallas|-1|2000000|1937
Bringing Up Baby|1073000|10863|1938
Party Fever|16838|26366|1938
Professor Beware|820000|796000|1938
Radio City Revels|810000|510000|1938
Auto Antics|20578|26564|1939
Captain Spanky's Show Boat|22564|36263|1939
Clown Princes|21243|30747|1939
Dad for a Day|20062|35405|1939
Dog Daze|23214|27066|1939
Gone with the Wind|3900000|198655278|1939
Ninotchka|1365000|1187000|1939
Only Angels Have Wings|-1|8554|1939
The Story of Vernon and Irene Castle|1196000|1120000|1939
Time Out for Lessons|20390|34572|1939
Tiny Troubles|17790|32227|1939
The Wizard of Oz|2777000|14792232|1939
Wuthering Heights|-1|593914|1939
Bubbling Troubles|20349|29426|1940
Fantasia|2280000|7650882|1940
Goin' Fishin'|21711|33343|1940
Good Bad Boys|20466|35434|1940
Kiddie Kure|21429|31875|1940
Pinocchio|2600000|18863559|1940
Susan and God|1103000|817000|1940
They Drive by Night|400000|4000000|1940
Waldo's Last Stand|18974|33675|1940
Baby Blues|17140|29450|1941
The Bashful Bachelor|165000|675000|1942
Buck Privates|180000|4000000|1941
Citizen Kane|686033|1140769|1941
Fightin' Fools|23627|31076|1941
Helping Hands|20440|31409|1941
How Green Was My Valley|1250000|6000000|1941
It Started with Eve|1166000|2264300|1941
Sergeant York|1400000|4000000|1941
Tobacco Road|-1|1900000|1941
Two-Faced Woman|316000|875000|1941
Wedding Worries|20434|28696|1941
Arabian Nights|-1|2000000|1942
Bambi|-1|5723384|1942
Casablanca|950000|1661267|1942
Cat People|134000|4000000|1942
China Girl|-1|1400000|1942
Doin' Their Bit|28306|24651|1942
Don't Lie|19212|26274|1942
For Me and My Gal|802000|4371000|1942
Going to Press|20260|27116|1942
Hitler's Children|205000|3355000|1943
Invisible Agent|322000|1040000|1942
Prisoner of Japan|19000|350000|1942
Rover's Big Chance|21872|22300|1942
Kate & Leopold|48000000|47095453|2001
To the Shores of Tripoli|-1|2300000|1942
Cabin in the Sky|662141|1606624|1943
Coney Island|1620000|3500000|1943
Girl Crazy|1140850|3770000|1943
A Guy Named Joe|2627000|5363000|1943
Hello Frisco, Hello|-1|3400000|1943
Jitterbugs|310600|1054000|1943
Little Miss Pinkerton|22053|23619|1943
Reveille with Beverly|40000|2100000|1943
Sweet Rosie O'Grady|1185000|3400000|1943
Victory Through Air Power|788000|799000|1943
Dancing Romeo|27353|19584|1944
Meet Me in St. Louis|1707561|7566000|1944
Radio Bugs|22121|19931|1944
Wilson|4000000|2000000|1944
Adventure|3500000|6000000|1945
The Bells of St. Mary's|-1|21333333|1945
The Clock|1324000|2783000|1945
Dillinger|193000|4000000|1945
Spellbound|1696377|7000000|1945
The Valley of Decision|2160000|8096000|1945
The Bandit of Sherwood Forest|-1|3000000|1946
La belle et la bête|-1|138158|1946
Humoresque|2164000|2281000|1946
Notorious|2000000|8000000|1946
Song of the South|-1|37459346|1946
Till the Clouds Roll By|2841000|6724000|1946
Tomorrow Is Forever|-1|3250000|1946
Without Reservations|1683000|3000000|1946
Brighton Rock|-1|10626|1947
Crossfire|250000|1300000|1947
Golden Earrings|1000000|7000000|1947
Killer McCoy|-1|2000000|1947
Miracle on 34th Street|-1|2650000|1947
Monsieur Verdoux|2000000|48695|1947
Mourning Becomes Electra|-1|435000|1947
Possessed|2592000|1987000|1947
Quai des Orfèvres|-1|152961|1947
Road to Rio|-1|4500000|1947
The Shocking Miss Pilgrim|2595000|2734000|1947
Vivere in pace|-1|2200000|1947
Arch of Triumph|5000000|1400000|1948
Easter Parade|2503654|6803000|1948
The Fallen Idol|-1|141502|1948
It Always Rains on Sunday|-1|7176|1947
Ladri di biciclette|-1|332930|1948
The Lady from Shanghai|2000000|7927|1947
The Pirate|3700000|2956000|1948
Sleep, My Love|-1|1800000|1948
That Lady in Ermine|2484000|1414000|1948
The Beautiful Blonde from Bashful Bend|2260000|1489000|1949
Flamingo Road|1528000|2263000|1949
In the Good Old Summertime|-1|3400000|1949
Pinky|-1|4200000|1949
The Third Man|-1|596349|1949
All About Eve|-1|10177|1950
Annie Get Your Gun|3768785|8000000|1950
Born Yesterday|-1|12000000|1950
Cinderella|2900000|34101149|1950
The Damned Don't Cry|1233000|1540000|1950
Destination Moon|-1|5000000|1950
Francesco, giullare di Dio|-1|13000|1950
Sunset Blvd.|1752000|5000000|1950
Three Little Words|-1|2800000|1950
Wabash Avenue|2115000|2039000|1950
An American in Paris|2723903|4500000|1951
Call Me Mister|1900000|2697000|1951
Goodbye, My Fancy|1312000|1130000|1951
Little Big Horn|183849|521260|1951
Meet Me After the Show|1825000|2606000|1951
On the Riviera|-1|2500000|1951
The Bad and the Beautiful|1558000|2367000|1952
The Greatest Show on Earth|4000000|14000000|1952
Hans Christian Andersen|4000000|6000000|1952
High Noon|750000|3750000|1952
Ikiru|-1|55240|1952
Invasion USA|127000|1200000|1952
This Is Cinerama|-1|15300000|1952
Umberto D.|-1|74308|1952
Appointment in Honduras|-1|1150000|1953
The Beast from 20,000 Fathoms|210000|5000000|1953
Escape from Fort Bravo|-1|1450000|1953
The Farmer Takes a Wife|1860000|1220000|1953
From Here to Eternity|1650000|30500000|1953
Gentlemen Prefer Blondes|-1|12000000|1953
Peter Pan|4000000|29445131|1953
The Robe|5000000|36000000|1953
Robot Monster|16000|1000000|1953
Roman Holiday|1500000|5000000|1953
Shane|3100000|20000000|1953
Stalag 17|1315000|10000000|1953
Touchez pas au grisbi|-1|95793|1954
I vitelloni|-1|97944|1953
War Arrow|-1|1400000|1953
Beachhead|-1|1400000|1954
Betrayed|1674000|1970000|1954
The Boy from Oklahoma|-1|1400000|1954
Casanova's Big Night|-1|3500000|1954
Creature from the Black Lagoon|-1|1300000|1954
Dial M for Murder|1400000|12562|1954
The Fast and the Furious|66000|250000|1955
Flame and the Flesh|-1|1300000|1954
Gojira|1000000|412520|1954
It Should Happen to You|-1|1400000|1954
Jubilee Trail|-1|1300000|1954
King Richard and the Crusaders|3000000|2100000|1954
The Long Wait|-1|1500000|1954
Men of the Fighting Lady|-1|1500000|1954
Monster from the Ocean Floor|12000|117000|1954
On the Waterfront|910000|9600000|1954
Phantom of the Rue Morgue|-1|1450000|1954
Rear Window|1000000|1559601|1954
Red Garters|-1|1300000|1954
Rhapsody|-1|1300000|1954
Riding Shotgun|-1|1400000|1954
Sabrina|2238813|10000000|1954
Secret of the Incas|-1|1400000|1954
Shichinin no samurai|2000000|269061|1954
Sitting Bull|-1|1500000|1954
A Star Is Born|5019770|4355968|1954
Suddenly|-1|1400000|1954
Tanganyika|-1|1300000|1954
Vera Cruz|3000000|9000000|1954
Yankee Pasha|-1|1250000|1954
Bob le flambeur|17500000|41010|1956
Du rififi chez les hommes|-1|418016|1955
Kiss Me Deadly|410000|882|1955
Lady and the Tramp|4000000|93600000|1955
Land of the Pharaohs|2900000|1500000|1955
Lola Montès|-1|107264|1955
Mister Roberts|-1|21200000|1955
Pather Panchali|-1|536364|1955
The Seven Year Itch|3200000|12000000|1955
The Tall Men|-1|12000000|1955
To Catch a Thief|2500000|8750000|1955
Teenage Thunder|46000|1000000|1957
Aparajito|-1|170215|1956
The Conqueror|6000000|4500000|1956
Et Dieu... créa la femme|-1|4000000|1956
Forbidden Planet|1900000|3000000|1956
Friendly Persuasion|3000000|8000000|1956
Giant|5400000|169928|1956
High Society|2700000|13000000|1956
Invitation to the Dance|1500000|600000|1956
The King and I|-1|21300000|1956
Love Me Tender|1000000|4500000|1956
The Man Who Knew Too Much|2500000|10250000|1956
The Man in the Gray Flannel Suit|-1|10875000|1956
Moby Dick|4500000|10400000|1956
Le mystère Picasso|-1|158817|1956
Rock Around the Clock|300000|4000000|1956
Seven Wonders of the World|-1|32100000|1956
The Ten Commandments|13500000|80000000|1956
Trapeze|4000000|4000000|1956
War and Peace|6000000|12500000|1956
Bayou|-1|10000000|1957
The Bridge on the River Kwai|3000000|33300000|1957
The Curse of Frankenstein|65000|7000000|1957
The Delinquents|65000|1000000|1957
A Farewell to Arms|4353000|11000000|1957
Le fatiche di Ercole|-1|5000000|1958
La grande strada azzurra|-1|6741|1957
Gunfight at the O.K. Corral|-1|11750000|1957
I Was a Teenage Werewolf|82000|2000000|1957
Island in the Sun|2250000|8000000|1957
Jailhouse Rock|400000|4000000|1957
Legend of the Lost|1750000|2200000|1957
Love in the Afternoon|2100000|5000000|1957
Le notti di Cabiria|-1|752045|1957
Peyton Place|-1|25600000|1957
The Pride and the Passion|-1|8750000|1957
Saint Joan|-1|400000|1957
Sayonara|-1|26300000|1957
Witness for the Prosecution|3000000|9000000|1957
Young and Dangerous|-1|1624|1957
Ascenseur pour l'échafaud|-1|263404|1958
Attack of the 50 Foot Woman|88000|480000|1958
Auntie Mame|-1|23300000|1958
Cat on a Hot Tin Roof|3000000|17570324|1958
The Fly|700000|3000000|1958
Jalsaghar|-1|94886|1958
Macabre|90000|5000000|1958
Separate Tables|-1|7400000|1958
South Pacific|6000000|36800000|1958
Touch of Evil|829000|2237659|1958
Vertigo|2479000|1718928|1958
Apur Sansar|-1|16000|1959
Ben-Hur|15000000|70000000|1959
Classe tous risques|-1|94552|1960
A Hole in the Head|-1|11000000|1959
Imitation of Life|2000000|25000000|1959
The Immoral Mr. Teas|24000|1500000|1959
The Killer Shrews|123000|1000000|1959
North by Northwest|4000000|13275000|1959
Operation Petticoat|-1|23300000|1959
Pillow Talk|-1|18750000|1959
Porgy and Bess|7000000|3500000|1959
Sleeping Beauty|6000000|13235215|1959
Some Like It Hot|2883848|25000000|1959
Les yeux sans visage|-1|52709|1960
À bout de souffle|400000|67464|1960
The Alamo|12000000|2000000|1960
The Apartment|3000000|25000000|1960
Les bonnes femmes|-1|6578|1960
Cinderfella|3000000|4700000|1960
Devi|-1|93215|1960
La dolce vita|-1|19516000|1960
Exodus|4000000|21750000|1960
Flaming Star|-1|900|1960
Macumba Love|-1|3000000|1960
Midnight Lace|-1|7400000|1960
Mughal-E-Azam|15000000|161434|1960
Peeping Tom|135000|83957|1960
Please Don't Eat the Daisies|-1|11100000|1960
Pote tin Kyriaki|151000|8000000|1960
Psycho|806947|32000000|1960
Spartacus|12000000|30000000|1960
L'année dernière à Marienbad|-1|143381|1961
Blue Hawaii|2000000|10440453|1961
Breakfast at Tiffany's|2500000|8000000|1961
Le combat dans l'île|-1|29183|1962
Le doulos|-1|82772|1962
El Cid|6250000|26620000|1961
The Exiles|-1|26517|1961
King of Kings|5037000|25000000|1961
The Last Time I Saw Archie|2000000|1200000|1961
Léon Morin, prêtre|-1|27005|1961
One Hundred and One Dalmatians|4000000|60830285|1961
The Parent Trap|-1|25150385|1961
Pit and the Pendulum|200000|2000000|1961
Il posto|-1|8852|1961
Teen Kanya|-1|81200|1961
Une femme est une femme|160000|99658|1961
West Side Story|6000000|43656822|1961
Dr. No|1100000|16067035|1962
Girls! Girls! Girls!|-1|2600000|1962
Hatari!|-1|14000000|1962
How the West Was Won|15000000|35000000|1962
Kid Galahad|-1|1750000|1962
Lawrence of Arabia|15000000|342481|1962
The Longest Day|10000000|39100000|1962
Mafioso|-1|398614|1962
The Music Man|-1|14953846|1962
Premature Burial|-1|1250000|1962
State Fair|4500000|3500000|1962
Taras Bulba|7000000|4000000|1962
That Touch of Mink|-1|14628923|1962
Tickle Me|1500000|1480000|1965
To Kill a Mockingbird|2000000|13129846|1962
What Ever Happened to Baby Jane?|980000|9000000|1962
8½|-1|50690|1963
La baie des anges|-1|85840|1963
Billy Liar|-1|35609|1963
The Birds|2500000|11403529|1963
Blood Feast|24500|4000000|1963
Cleopatra|44000000|48000000|1963
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb|1800000|74621|1964
L'eroe di Babilonia|-1|1800000|1963
From Russia with Love|2000000|24796765|1963
Fun in Acapulco|-1|1500000|1963
Zuo ye meng hun zhong|-1|775986|1963
Irma la Douce|5000000|20000000|1963
It Happened at the World's Fair|-1|2250000|1963
It's a Mad Mad Mad Mad World|9400000|46332858|1963
Kissin' Cousins|800000|2800000|1964
Le mépris|900000|153141|1963
The Pink Panther|-1|10878107|1963
The Sword in the Stone|-1|12000000|1963
Tom Jones|1000000|50000000|1963
The V.I.P.s|4000000|14000000|1963
Bande à part|120000|182857|1964
The Carpetbaggers|3000000|40000000|1964
Charulata|-1|77820|1964
The Fall of the Roman Empire|19000000|4750000|1964
Goldfinger|3000000|51081062|1964
A Hard Day's Night|560000|1000549|1964
Hush...Hush, Sweet Charlotte|1900000|7000000|1964
Le journal d'une femme de chambre|-1|17754|1964
Marnie|3000000|7000000|1964
Mary Poppins|6000000|102300000|1964
The Night of the Iguana|3000000|12000000|1964
Les parapluies de Cherbourg|-1|18425|1964
Per un pugno di dollari|200000|3500000|1964
Roustabout|-1|3000000|1964
A Shot in the Dark|-1|12368234|1964
Soy Cuba|-1|160697|1964
Viva Las Vegas|1000000|5125000|1964
The Agony and the Ecstasy|10000000|4000000|1965
La battaglia di Algeri|-1|815345|1966
Darling|400000|12000000|1965
Doctor Zhivago|11000000|111721910|1965
Genghis Khan|-1|3892|1965
Girl Happy|-1|3100000|1965
Giulietta degli spiriti|-1|78550|1965
The Greatest Story Ever Told|20000000|12000000|1965
Harum Scarum|-1|1500000|1965
The Knack ...and How to Get It|364000|8000000|1965
Major Dundee|3800000|14873|1965
Paradise, Hawaiian Style|2000000|2500000|1966
Paris vu par...|-1|13949|1965
Per qualche dollaro in più|600000|15000000|1965
Rekopis znaleziony w Saragossie|-1|118971|1965
The Sandpiper|5300000|14000000|1965
Shenandoah|-1|17268889|1965
The Sons of Katie Elder|-1|6000000|1965
The Sound of Music|8200000|163214286|1965
Thunderball|9000000|63600000|1965
The Train|6700000|6000000|1964
Au hasard Balthazar|-1|39388|1966
Blowup|1800000|20000000|1966
Il buono, il brutto, il cattivo.|1200000|19000000|1966
2 ou 3 choses que je sais d'elle|-1|101944|1967
The Fortune Cookie|3705000|6800000|1966
Made in U.S.A.|50000|81105|1966
A Man for All Seasons|2000000|25000000|1966
Masculin féminin: 15 faits précis|-1|200087|1966
The Sand Pebbles|12000000|20000000|1966
Who's Afraid of Virginia Woolf?|7500000|28000000|1966
The Wild Angels|360000|14000000|1966
Les aventuriers|-1|325527|1967
Barefoot in the Park|-1|19994515|1967
Belle de jour|-1|4037017|1967
The Taming of the Shrew|4000000|8000000|1967
Bonnie and Clyde|2500000|50000000|1967
The Born Losers|360000|36000000|1967
Caprice|-1|4075000|1967
Casino Royale|12000000|22744718|1967
La chinoise|-1|26803|1967
The Comedians|-1|5200000|1967
The Dirty Dozen|-1|45300000|1967
Doctor Dolittle|18000000|9000000|1967
Double Trouble|-1|1600000|1967
Easy Come, Easy Go|2000000|1950000|1967
El Dorado|-1|6000000|1966
The Graduate|3000000|75702|1967
Guess Who's Coming to Dinner|4000000|56700000|1967
Jag är nyfiken - en film i gult|-1|20238100|1967
The Jungle Book|-1|44645619|1967
Komissar|-1|388029|1967
Le samouraï|-1|39481|1967
Thoroughly Modern Millie|6000000|40000000|1967
Two for the Road|4000000|12000000|1967
Valley of the Dolls|5000000|44432255|1967
Wait Until Dark|4000000|11000000|1967
The War Wagon|-1|6000000|1967
You Only Live Twice|9500000|43084787|1967
Les aventures de Tom Sawyer|-1|4037982|1968
2001: A Space Odyssey|10500000|56715371|1968
Barbarella|9000000|613285|1968
Coogan's Bluff|-1|3110000|1968
Les demoiselles de Rochefort|-1|88463|1967
Funny Girl|14100000|223306|1968
The Lion in Winter|-1|22276975|1968
Night of the Living Dead|114000|12000000|1968
Oliver!|10000000|16800000|1968
Planet of the Apes|5800000|32600000|1968
The Producers|941000|111866|1968
Speedway|1500000|3000000|1968
Star!|14000000|4000000|1968
Le vieil homme et l'enfant|-1|50710|1967
Where Were You When the Lights Went Out?|-1|7988000|1968
With Six You Get Eggroll|-1|10095200|1968
Yours, Mine and Ours|2500000|17000000|1968
Alice's Restaurant|-1|6300000|1969
L'armée des ombres|-1|741733|1969
Bob & Carol & Ted & Alice|2000000|30000000|1969
Butch Cassidy and the Sundance Kid|6000000|96700000|1969
C'era una volta il West|5000000|5321508|1968
Che!|2800000|2000000|1969
De Sade|-1|1250000|1969
Easy Rider|340000|60000000|1969
L'enfant sauvage|-1|59181|1970
Marooned|8000000|4350000|1969
Midnight Cowboy|3600000|44785053|1969
Monterey Pop|-1|1524|1968
On Her Majesty's Secret Service|7000000|22774493|1969
Paint Your Wagon|20000000|31678778|1969
The Plot Against Harry|-1|274182|1989
Run, Angel, Run!|96000|13000000|1969
La sirène du Mississipi|1600000|10962|1969
The Sterile Cuckoo|-1|13982357|1969
True Grit|-1|14250000|1969
Z|-1|83305|1969
Airport|10000000|100489150|1970
The AristoCats|4000000|17452658|1970
Beneath the Planet of the Apes|3000000|17489009|1970
Beyond the Valley of the Dolls|900000|9000000|1970
Le cercle rouge|-1|372229|1970
Chisum|-1|6000000|1970
Darling Lili|25000000|5000000|1970
Erinnerungen an die Zukunft|-1|25948300|1970
Five Easy Pieces|1600000|18099091|1970
Il giardino dei Finzi Contini|-1|596694|1970
Gimme Shelter|-1|252570|1970
Joe|106000|19184330|1970
Little Big Man|15000000|31559552|1970
Love Story|2200000|106400000|1970
MASH|3500000|73200000|1970
Myra Breckinridge|5000000|3000000|1970
On a Clear Day You Can See Forever|10000000|14000000|1970
The Only Game in Town|11000000|1500000|1970
Patton|12000000|61700000|1970
The Private Life of Sherlock Holmes|10000000|1500000|1970
Strawberries Need Rain|-1|22353|1970
THX 1138|777000|2437000|1971
Tora! Tora! Tora!|25000000|14500000|1970
Trash|25000|1500000|1970
Woodstock|600000|50000000|1970
Zabriskie Point|7000000|891918|1970
Der Seewolf|-1|3162533|1971
Ann och Eve - de erotiska|-1|18000000|1970
The Big Doll House|125000|10000000|1971
Big Jake|-1|7500000|1971
Carnal Knowledge|-1|28623900|1971
A Clockwork Orange|2200000|26589355|1971
Diamonds Are Forever|7200000|43819547|1971
Dirty Harry|4000000|28153434|1971
Escape from the Planet of the Apes|2500000|12300000|1971
Fiddler on the Roof|9000000|50000000|1971
The French Connection|1800000|51700000|1971
Pink Narcissus|27000|8231|1971
Shaft|1125000|12121618|1971
Le souffle au coeur|-1|1160784|1971
Straw Dogs|3251794|11148828|1971
Summer of '42|1000000|25000000|1971
Sweet Sweetback's Baadasssss Song|150000|15180000|1971
Willard|-1|19216000|1971
Willy Wonka & the Chocolate Factory|3000000|4000000|1971
Avanti!|2750000|4500000|1972
Behind the Green Door|60000|50000000|1972
Cabaret|6000000|42765000|1972
The Valachi Papers|-1|17106087|1972
Le charme discret de la bourgeoisie|-1|198809|1972
Conquest of the Planet of the Apes|1700000|9000000|1972
The Cowboys|6000000|7500000|1972
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask|2000000|18016290|1972
Frenzy|2000000|16000000|1972
Fritz the Cat|1000000|25000000|1972
The Getaway|3352254|26987155|1972
The Godfather|6000000|134966411|1972
High Plains Drifter|-1|15700000|1973
Lady Sings the Blues|-1|9600000|1972
The Last House on the Left|90000|3100000|1972
The Legend of Boggy Creek|100000|20000000|1972
Pink Flamingos|10000|180483|1972
The Poseidon Adventure|5000000|264850|1972
Shaft's Big Score!|-1|10000000|1972
American Graffiti|777000|21300000|1973
Battle for the Planet of the Apes|1800000|8800000|1973
The Day of the Dolphin|8500000|2300000|1973
Detroit 9000|-1|2054|1973
Enter the Dragon|850000|25000000|1973
The Exorcist|1000000|39661731|1973
Jesus Christ Superstar|-1|13200000|1973
Jonathan Livingston Seagull|1500000|1600000|1973
Live and Let Die|7000000|35377836|1973
Lost Horizon|12000000|3000000|1973
Magnum Force|-1|44680473|1973
Mean Streets|500000|32645|1973
La nuit américaine|-1|17808|1973
Papillon|12000000|53267000|1973
Robin Hood|15000000|32056467|1973
Serpico|-1|27274150|1973
Sleeper|2000000|18344729|1973
The Sting|5500000|156000000|1973
Ultimo tango a Parigi|1250000|36144000|1972
Walking Tall|500000|23000000|1973
The Way We Were|-1|49919870|1973
Airport 1975|3000000|25000000|1974
Alice Doesn't Live Here Anymore|1800000|17600000|1974
Benji|500000|39552600|1974
Black Christmas|686000|4053000|1974
Blazing Saddles|2600000|119500000|1974
Chinatown|6000000|30000000|1974
The Conversation|1600000|4420000|1974
Death Wish|3000000|22000000|1974
Dirty Mary Crazy Larry|2000000|28401735|1974
Earthquake|7000000|79700000|1974
Emmanuelle|500000|100000000|1974
Le fantôme de la liberté|-1|6172|1974
The Front Page|4000000|15000000|1974
The Godfather: Part II|13000000|57300000|1974
The Great Gatsby|6500000|26533200|1974
The Groove Tube|200000|20447000|1974
Hearts and Minds|-1|28287|1974
Herbie Rides Again|-1|38229000|1974
The Holy Mountain|750000|61001|1973
The Longest Yard|-1|43008075|1974
Macon County Line|225000|18765000|1974
The Man with the Golden Gun|13000000|20972000|1974
Monty Python and the Holy Grail|229575|1821082|1975
Murder on the Orient Express|-1|35733867|1974
The Return of the Pink Panther|5000000|17000000|1975
The Sugarland Express|3000000|7500000|1974
The Texas Chain Saw Massacre|83532|30859000|1974
Thunderbolt and Lightfoot|4000000|25000000|1974
The Towering Inferno|14000000|116000000|1974
Young Frankenstein|2800000|86300000|1974
The Adventures of the Wilderness Family|-1|31223000|1975
At Long Last Love|6000000|1500000|1975
Barry Lyndon|11000000|20000000|1975
Breakout|-1|16000000|1975
Dog Day Afternoon|-1|46665856|1975
Flåklypa Grand Prix|-1|5914576|1975
French Connection II|-1|12484444|1975
The Great Waldo Pepper|-1|20642922|1975
Hard Times|2700000|5000000|1975
Jaws|12000000|69725376|1975
Love and Death|3000000|20123742|1975
Lucky Lady|13000000|12000000|1975
Nashville|2200000|9984123|1975
One Flew Over the Cuckoo's Nest|4400000|112000000|1975
Picnic at Hanging Rock|-1|84744|1975
Professione: reporter|-1|619744|1975
The Rocky Horror Picture Show|1200000|139876417|1975
Rollerball|-1|30000000|1975
Rooster Cogburn|-1|8022000|1975
Shampoo|-1|49407734|1975
Sharks' Treasure|-1|2000000|1975
Supervixens|100000|17000000|1975
Aloha Bobby and Rose|60000|35000000|1975
All the President's Men|8500000|70600000|1976
The Bad News Bears|-1|32211330|1976
The Blue Bird|12000000|887000|1976
