Title|Budget|Gross|Year
The Matrix|63000000|171383253|1999
Tarzan|150000000|171085177|1999
A Beautiful Mind|60000000|170708996|2001
Chicago|45000000|170687518|2002
Quantum of Solace|200000000|168368427|2008
Wild Hogs|-1|168213584|2007
3 Men and a Baby|-1|167780960|1987
Casino Royale|150000000|167445960|2006
Meet the Parents|55000000|166244045|2000
Robin Hood: Prince of Thieves|50000000|165500000|1991
Hannibal|87000000|165091464|2001
Catch Me If You Can|52000000|164435221|2002
The Sound of Music|8200000|163214286|1965
A Bug's Life|45000000|162792677|1998
Batman Returns|80000000|162744850|1992
The Pursuit of Happyness|55000000|162586036|2006
The Waterboy|23000000|161487252|1998
Die Another Day|142000000|160854135|2002
Shark Tale|75000000|160762022|2004
The Firm|42000000|158348400|1993
The Longest Yard|82000000|158119460|2005
X-Men|75000000|157299717|2000
Scary Movie|19000000|156997084|2000
Fatal Attraction|14000000|156645693|1987
The Sting|5500000|156000000|1973
What Lies Beneath|90000000|155370362|2000
The Mummy|80000000|155247825|1999
Fast & Furious|85000000|155022220|2009
Over the Hedge|-1|155019340|2006
Fantastic Four|100000000|154695569|2005
Horton Hears a Who!|85000000|154529187|2008
Who Framed Roger Rabbit|70000000|154222492|1988
Beverly Hills Cop II|28000000|153665000|1987
Jerry Maguire|50000000|153620822|1996
Scooby-Doo|84000000|153288182|2002
Sex and the City|65000000|152647258|2008
Runaway Bride|70000000|152149590|1999
Rambo: First Blood Part II|44000000|150415432|1985
Terminator 3: Rise of the Machines|200000000|150350192|2003
G.I. Joe: The Rise of Cobra|170000000|150010209|2009
Knocked Up|30000000|148734225|2007
Talladega Nights: The Ballad of Ricky Bobby|72500000|148213377|2006
Gremlins|11000000|148168459|1984
Gran Torino|35000000|148055047|2008
As Good as It Gets|50000000|147637474|1997
Lethal Weapon 2|-1|147253986|1989
Paul Blart: Mall Cop|25000000|146336178|2009
True Lies|110000000|146261000|1994
Lilo & Stitch|80000000|145771527|2002
American Pie 2|30000000|145103595|2001
The Santa Clause|-1|144833357|1994
I, Robot|120000000|144795350|2004
Lethal Weapon 3|-1|144731527|1992
The Fast and the Furious|38000000|144512310|2001
Doctor Dolittle|71500000|144156464|1998
Mamma Mia!|52000000|144130063|2008
Juno|7500000|143492840|2007
Marley & Me|60000000|143153751|2008
The Chronicles of Narnia: Prince Caspian|200000000|141614023|2008
Pocahontas|55000000|141600000|1995
A Few Good Men|33000000|141340178|1992
Slumdog Millionaire|15000000|141319195|2008
xXx|85000000|141204016|2002
Rush Hour|33000000|141153686|1998
The Blair Witch Project|60000|140530114|1999
Deep Impact|75000000|140459099|1998
Look Who's Talking|7500000|140088813|1989
Stuart Little|103000000|140015224|1999
Rush Hour 3|140000000|139885001|2007
The Rocky Horror Picture Show|1200000|139876417|1975
Sister Act|-1|139470392|1992
The Matrix Revolutions|150000000|139259759|2003
The Santa Clause 2|60000000|139225854|2002
Cheaper by the Dozen|40000000|138614544|2003
Bad Boys II|130000000|138396624|2003
Good Will Hunting|10000000|138339411|1997
Platoon|6000000|137963328|1986
Dinosaur|127500000|137748063|2000
The Green Mile|60000000|136801374|1999
Ransom|80000000|136448821|1996
101 Dalmatians|-1|136182161|1996
Godzilla|130000000|136023813|1998
Chicken Little|150000000|135381507|2005
Teenage Mutant Ninja Turtles|13500000|135270000|1990
Patch Adams|50000000|135014968|1998
The Godfather|6000000|134966411|1972
Live Free or Die Hard|110000000|134527196|2007
The Incredible Hulk|150000000|134518390|2008
The Rock|75000000|134006721|1996
Anger Management|75000000|133756285|2003
Mission: Impossible III|150000000|133382309|2006
Troy|175000000|133378256|2004
Angels & Demons|150000000|133375846|2009
Bringing Down the House|35000000|132541238|2003
The Departed|90000000|132373442|2006
Hulk|137000000|132122995|2003
Minority Report|102000000|132014112|2002
4: Rise of the Silver Surfer|130000000|131920333|2007
Lara Croft: Tomb Raider|80000000|131144183|2001
Honey, I Shrunk the Kids|-1|130724200|1989
The Silence of the Lambs|19000000|130719208|1991
The Flintstones|45000000|130512915|1994
Get Smart|80000000|130313314|2008
American Gangster|100000000|130127620|2007
American Beauty|15000000|130058047|1999
Lethal Weapon 4|140000000|129734803|1998
The Nutty Professor|54000000|128769345|1996
The Ring|48000000|128579698|2002
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan|18000000|128505958|2006
Robots|75000000|128200012|2005
Coming to America|39000000|128152300|1988
Wo hu cang long|15000000|128067808|2000
Enchanted|85000000|127807262|2007
The Curious Case of Benjamin Button|150000000|127509326|2008
Sweet Home Alabama|38000000|127214072|2002
Dumb & Dumber|16000000|127175354|1994
2 Fast 2 Furious|76000000|127083765|2003
The World Is Not Enough|135000000|126930660|1999
My Best Friend's Wedding|46000000|126805112|1997
Bee Movie|150000000|126597121|2007
Sleepless in Seattle|21000000|126533006|1993
Mr. Deeds|50000000|126203320|2002
The Truman Show|60000000|125603360|1998
Erin Brockovich|51000000|125548685|2000
Ocean's Twelve|110000000|125531634|2004
Rocky IV|31000000|125409936|1985
Tomorrow Never Dies|110000000|125332007|1997
Terminator Salvation|200000000|125322469|2009
Charlie's Angels|92000000|125305545|2000
The Devil Wears Prada|35000000|124732962|2006
Something's Gotta Give|-1|124590960|2003
Traffic|48000000|124107476|2000
City Slickers|-1|124033791|1991
The Birdcage|-1|123986682|1996
Good Morning, Vietnam|13000000|123922370|1987
Nutty Professor II: The Klumps|84000000|123307945|2000
An Officer and a Gentleman|-1|122195017|1982
Clear and Present Danger|65000000|122012710|1994
The Bodyguard|-1|121945720|1992
Wayne's World|-1|121697350|1992
The Bourne Identity|60000000|121468960|2002
Superbad|20000000|121463226|2007
Cloudy with a Chance of Meatballs|100000000|121027663|2009
50 First Dates|75000000|120776832|2004
The Hunt for Red October|30000000|120709868|1990
Mulan|70000000|120618403|1998
Van Helsing|160000000|120177084|2004
Seabiscuit|86000000|120147445|2003
Four Christmases|80000000|120146040|2008
The Mask|18000000|119936108|1994
Inglourious Basterds|70000000|119873433|2009
I Now Pronounce You Chuck & Larry|85000000|119684970|2007
Hook|70000000|119654823|1991
Walk the Line|28000000|119519402|2005
Blazing Saddles|2600000|119500000|1974
Total Recall|65000000|119394840|1990
Fahrenheit 9/11|6000000|119194771|2004
G-Force|-1|118903901|2009
Hairspray|75000000|118823091|2007
The Break-Up|52000000|118683135|2006
Lemony Snicket's A Series of Unfortunate Events|140000000|118634549|2004
Back to the Future Part II|40000000|118500000|1989
The Sum of All Fears|68000000|118471320|2002
Blades of Glory|61000000|118153533|2007
Basic Instinct|49000000|117727000|1992
Big Momma's House|30000000|117559438|2000
Rocky|1100000|117235247|1976
Ocean's Thirteen|85000000|117154724|2007
Double Jeopardy|40000000|116735231|1999
8 Mile|41000000|116724075|2002
S.W.A.T.|80000000|116643346|2003
Tootsie|22000000|116147056|1982
Notting Hill|42000000|116006080|1999
The Towering Inferno|14000000|116000000|1974
Ghost Rider|110000000|115802596|2007
You've Got Mail|65000000|115731542|1998
Remember the Titans|30000000|115648585|2000
District 9|30000000|115502313|2009
Die Hard 2|70000000|115288665|1990
The Karate Kid, Part II|-1|115103979|1986
Big|18000000|114968774|1988
Dodgeball: A True Underdog Story|20000000|114324072|2004
The Village|71682975|114195633|2004
Bolt|150000000|114053579|2008
Wild Wild West|170000000|113745408|1999
The Addams Family|38000000|113502000|1991
The Patriot|110000000|113330342|2000
The Pacifier|56000000|113006880|2005
Dr. Dolittle 2|72000000|112950721|2001
Spy Kids|35000000|112692062|2001
Ghostbusters II|-1|112494738|1989
Face/Off|80000000|112225777|1997
One Flew Over the Cuckoo's Nest|4400000|112000000|1975
Spy Kids 3-D: Game Over|39000000|111760631|2003
Doctor Zhivago|11000000|111721910|1965
Enemy of the State|90000000|111544445|1998
The Last Samurai|140000000|111110575|2003
Tropic Thunder|92000000|110416702|2008
Fun with Dick and Jane|100000000|110332737|2005
Freaky Friday|26000000|110230332|2003
The Grudge|10000000|110175871|2004
Scary Movie 3|45000000|110000082|2003
Bedtime Stories|80000000|109993847|2008
The Little Mermaid|40000000|109859444|1989
The 40 Year Old Virgin|26000000|109449237|2005
'Crocodile' Dundee II|-1|109305000|1988
A Time to Kill|40000000|108706165|1996
Black Hawk Down|90000000|108638745|2001
Ace Ventura: When Nature Calls|30000000|108344348|1995
The Princess Diaries|37000000|108244774|2001
Pulp Fiction|8000000|107928762|1994
Watchmen|130000000|107509799|2009
A League of Their Own|40000000|107458785|1992
Batman & Robin|125000000|107285004|1997
Miss Congeniality|45000000|106807667|2000
Chicken Run|42000000|106793915|2000
Analyze This|30000000|106694016|1999
Indecent Proposal|38000000|106614100|1993
Driving Miss Daisy|7500000|106593296|1989
Love Story|2200000|106400000|1970
The Italian Job|60000000|106126012|2003
How to Lose a Guy in 10 Days|50000000|105807520|2003
The First Wives Club|26000000|105444419|1996
George of the Jungle|55000000|105263257|1997
Porky's|4000000|105124546|1982
Phenomenon|32000000|104632573|1996
American Wedding|55000000|104565114|2003
Daddy Day Care|60000000|104148781|2003
Road to Perdition|80000000|104054514|2002
Dick Tracy|47000000|103738726|1990
Nine to Five|-1|103290500|1980
Dreamgirls|70000000|103063211|2006
The General's Daughter|60000000|102678089|1999
The Aviator|116000000|102593534|2004
Daredevil|78000000|102543518|2003
The Mummy: Tomb of the Dragon Emperor|145000000|102491776|2008
In the Line of Fire|40000000|102314283|1993
Mary Poppins|6000000|102300000|1964
The Goodbye Girl|-1|102000000|1977
American Pie|11000000|101736215|1999
Journey to the Center of the Earth|45000000|101702060|2008
Gone in Sixty Seconds|90000000|101643008|2000
Maverick|-1|101631272|1994
Sleeping with the Enemy|-1|101599005|1991
Superman II|54000000|101347629|1980
Scream 2|24000000|101334374|1997
Stir Crazy|-1|101300000|1980
Eraser|100000000|101228120|1996
The Prince of Egypt|60000000|101217900|1998
Eagle Eye|80000000|101111837|2008
Con Air|75000000|101087161|1997
Sleepy Hollow|65000000|101068340|1999
Contact|90000000|100853835|1997
The Pelican Brief|-1|100768056|1993
Interview with the Vampire: The Vampire Chronicles|60000000|100689330|1994
Charlie's Angels: Full Throttle|120000000|100685880|2003
Vanilla Sky|68000000|100614858|2001
The Rugrats Movie|28000000|100491683|1998
Airport|10000000|100489150|1970
Jumanji|65000000|100475249|1995
Step Brothers|65000000|100468793|2008
The Cat in the Hat|109000000|100446895|2003
Million Dollar Baby|30000000|100422786|2004
Casper|55000000|100328194|1995
Evan Almighty|200000000|100289690|2007
Shakespeare in Love|25000000|100241322|1998
Se7en|30000000|100125000|1995
The Hunchback of Notre Dame|70000000|100117603|1996
Parenthood|-1|100047830|1989
You Don't Mess with the Zohan|90000000|100018837|2008
Collateral|65000000|100003492|2004
Die Hard: With a Vengeance|90000000|100003359|1995
Emmanuelle|500000|100000000|1974
GoldenEye|58000000|99929196|1995
Hercules|70000000|99046791|1997
Kramer vs. Kramer|-1|98982763|1979
The Color Purple|15000000|98467863|1985
Meet the Robinsons|-1|97821064|2007
Yes Man|70000000|97690976|2008
Inspector Gadget|75000000|97360069|1999
Paranormal Activity|11000|97108475|2007
Public Enemies|100000000|97030725|2009
Butch Cassidy and the Sundance Kid|6000000|96700000|1969
The Others|17000000|96471845|2001
Schindler's List|25000000|96045248|1993
Dead Poets Society|16400000|95860116|1989
Couples Retreat|-1|95680555|2009
Cold Mountain|83000000|95632614|2003
Michael|-1|95345070|1996
Norbit|60000000|95323496|2007
Panic Room|48000000|95308367|2002
The Princess Diaries 2: Royal Engagement|40000000|95149435|2004
Legally Blonde|18000000|95001351|2001
Unbreakable|75000000|94999143|2000
Flashdance|-1|94900000|1983
10,000 BC|105000000|94770548|2008
Beverly Hills Chihuahua|20000000|94497271|2008
He's Just Not That Into You|25000000|93945548|2009
Master and Commander: The Far Side of the World|150000000|93926386|2003
Maid in Manhattan|55000000|93815117|2002
The Mask of Zorro|65000000|93771072|1998
Julie & Julia|40000000|93620739|2009
America's Sweethearts|48000000|93607673|2001
Lady and the Tramp|4000000|93600000|1955
The Bucket List|45000000|93452056|2007
Cats & Dogs|60000000|93375151|2001
Two Weeks Notice|60000000|93307796|2002
Flubber|-1|92969824|1997
Red Dragon|90000000|92930005|2002
When Harry Met Sally...|16000000|92823546|1989
The Client|45000000|92115211|1994
Star Trek: First Contact|45000000|92001027|1996
Kindergarten Cop|26000000|91457688|1990
Crimson Tide|53000000|91400000|1995
Back to School|-1|91258000|1986
The Haunting|80000000|91188905|1999
Save the Last Dance|13000000|91038276|2001
Stepmom|50000000|91030827|1998
The Karate Kid|-1|90815558|1984
Scary Movie 4|50000000|90710620|2006
Antz|60000000|90646554|1998
The Game Plan|22000000|90636983|2007
Me, Myself & Irene|51000000|90567722|2000
High School Musical 3: Senior Year|11000000|90559416|2008
Madea Goes to Jail|-1|90485233|2009
Space Cowboys|65000000|90454043|2000
Space Jam|80000000|90443603|1996
The Scorpion King|60000000|90341670|2002
Mystic River|30000000|90135191|2003
Legally Blonde 2: Red, White & Blonde|45000000|89808372|2003
Flightplan|55000000|89706988|2005
Father of the Bride|-1|89325780|1991
The Emperor's New Groove|100000000|89296573|2000
Scream 3|40000000|89138076|2000
The Ugly Truth|38000000|88915214|2009
Failure to Launch|50000000|88715192|2006
Trading Places|-1|88621914|1983
Arthur|7000000|88595661|1981
Inside Man|45000000|88504640|2006
Waterworld|175000000|88246220|1995
Starsky & Hutch|60000000|88200225|2004
The Hand That Rocks the Cradle|-1|88036683|1992
Along Came Polly|42000000|87856565|2004
Entrapment|66000000|87704396|1999
Back to the Future Part III|40000000|87666629|1990
The Living Sea|-1|87600000|1995
Terms of Endearment|-1|87436122|1983
Pineapple Express|27000000|87341380|2008
Out of Africa|31000000|87100000|1985
Saw II|4000000|87025093|2005
The Naked Gun 2½: The Smell of Fear|23000000|86930411|1991
Presumed Innocent|-1|86303188|1990
Young Frankenstein|2800000|86300000|1974
Mean Girls|17000000|86049418|2004
Pokémon: The First Movie|-1|85744662|1999
Spy Kids 2: Island of Lost Dreams|39000000|85570368|2002
The SpongeBob SquarePants Movie|30000000|85416609|2004
Brother Bear|-1|85329248|2003
Dangerous Minds|-1|84919401|1995
The Santa Clause 3: The Escape Clause|-1|84497876|2006
Open Season|85000000|84303558|2006
Scooby Doo 2: Monsters Unleashed|-1|84185387|2004
Anchorman: The Legend of Ron Burgundy|26000000|84136909|2004
Atlantis: The Lost Empire|90000000|84052762|2001
Cliffhanger|65000000|84049211|1993
The X Files|66000000|83892374|1998
The War of the Roses|-1|83699711|1989
Airplane!|3500000|83400000|1980
Under Siege|35000000|83363139|1992
Stripes|10000000|83339362|1981
Patriot Games|45000000|83287363|1992
Valkyrie|75000000|83077833|2008
Brokeback Mountain|14000000|83025853|2005
